timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:29:48.405+01:00,101,"4,7",23358,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.440+01:00,102,"4,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.480+01:00,103,"4,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.485+01:00,104,"5,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.520+01:00,105,"5,2",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.525+01:00,106,"5,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.560+01:00,107,"5,4",23595,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.565+01:00,108,"5,6",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.600+01:00,109,"5,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.605+01:00,110,"5,8",23897,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.680+01:00,111,"5,9",23745,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.685+01:00,112,"6,1",25710,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.719+01:00,113,"6,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.725+01:00,114,"6,3",24657,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.760+01:00,115,"6,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.765+01:00,116,"6,5",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.800+01:00,117,"6,7",23240,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.805+01:00,118,"6,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
